Name,Address,Zip/Postal Code,Country,Lat,Lng,Weight,Remarks,Icon Color,Icon Shape
HUA YI SECONDARY SCHOOL,60 JURONG WEST ST 42,649371.0,Singapore,,,,,#c00,
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17,737888.0,Singapore,,,,,#c00,
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228.0,Singapore,,,,,#c00,
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933.0,Singapore,,,,,#c00,
FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD,217567.0,Singapore,,,,,#c00,
FERNVALE PRIMARY SCHOOL,1 Fernvale Lane,797701.0,Singapore,,,,,#c00,
FRONTIER PRIMARY SCHOOL,20 Jurong West Street 61,648200.0,Singapore,,,,,#c00,
FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062.0,Singapore,,,,,#c00,
FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410.0,Singapore,,,,,#c00,
GAN ENG SENG PRIMARY SCHOOL,100 REDHILL CLOSE,158901.0,Singapore,,,,,#c00,
GEYLANG METHODIST SCHOOL (SECONDARY),2 GEYLANG EAST CENTRAL,389705.0,Singapore,,,,,#c00,
GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42,529176.0,Singapore,,,,,#c00,
GREENDALE SECONDARY SCHOOL,51 EDGEDALE PLAINS,828866.0,Singapore,,,,,#c00,
GREENWOOD PRIMARY SCHOOL,11 WOODLANDS DR 62,737942.0,Singapore,,,,,#c00,
HAIG GIRLS' SCHOOL,860 NEW UPPER CHANGI ROAD,467353.0,Singapore,,,,,#c00,
HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790.0,Singapore,,,,,#c00,
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21,659633.0,Singapore,,,,,#c00,
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699.0,Singapore,,,,,#c00,
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822.0,Singapore,,,,,#c00,
CEDAR PRIMARY SCHOOL,15 CEDAR AVENUE,349700.0,Singapore,,,,,#c00,
CHANGKAT PRIMARY SCHOOL,11 SIMEI ST 3,529896.0,Singapore,,,,,#c00,
COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784.0,Singapore,,,,,#c00,
COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083.0,Singapore,,,,,#c00,
CORAL PRIMARY SCHOOL,20 PASIR RIS ST 51,518902.0,Singapore,,,,,#c00,
CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347.0,Singapore,,,,,#c00,
DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31,659441.0,Singapore,,,,,#c00,
DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42,569277.0,Singapore,,,,,#c00,
DUNEARN SECONDARY SCHOOL,247 Jalan Boon Lay,619522.0,Singapore,,,,,#c00,
CHIJ (KELLOCK),1 Bukit Teresa Road,99757.0,Singapore,,,,,#c00,
CHIJ KATONG CONVENT,3 GEYLANG BAHRU LANE,339626.0,Singapore,,,,,#c00,
CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793.0,Singapore,,,,,#c00,
CHIJ PRIMARY (TOA PAYOH),628 Lorong 1 Toa Payoh,319765.0,Singapore,,,,,#c00,
CHIJ ST. JOSEPH'S CONVENT,62 SENG KANG EAST WAY,548595.0,Singapore,,,,,#c00,
CHIJ ST. THERESA'S CONVENT,160 LOWER DELTA ROAD,99138.0,Singapore,,,,,#c00,
CHONGFU SCHOOL,170 YISHUN AVENUE 6,768959.0,Singapore,,,,,#c00,
CHUA CHU KANG SECONDARY SCHOOL,3 TECK WHYE CRESCENT,688845.0,Singapore,,,,,#c00,
CHUNG CHENG HIGH SCHOOL (YISHUN),11 YISHUN STREET 61,768547.0,Singapore,,,,,#c00,
CLEMENTI TOWN SECONDARY SCHOOL,10 CLEMENTI AVE 3,129904.0,Singapore,,,,,#c00,
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809.0,Singapore,,,,,#c00,
ST. JOSEPH'S INSTITUTION,21 BISHAN STREET 14,579781.0,Singapore,,,,,#c00,
ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091.0,Singapore,,,,,#c00,
ST. PATRICK'S SCHOOL,490 EAST COAST ROAD,429058.0,Singapore,,,,,#c00,
TANJONG KATONG PRIMARY SCHOOL,10 SERAYA ROAD,437259.0,Singapore,,,,,#c00,
TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796.0,Singapore,,,,,#c00,
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road,679946.0,Singapore,,,,,#c00,
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742.0,Singapore,,,,,#c00,
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24,579747.0,Singapore,,,,,#c00,
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990.0,Singapore,,,,,#c00,
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD,739111.0,Singapore,,,,,#c00,
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1,538882.0,Singapore,,,,,#c00,
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8,538784.0,Singapore,,,,,#c00,
TAMPINES JUNIOR COLLEGE,2 TAMPINES AVENUE 9,529564.0,Singapore,,,,,#c00,
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12,529426.0,Singapore,,,,,#c00,
TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391.0,Singapore,,,,,#c00,
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299.0,Singapore,,,,,#c00,
TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848.0,Singapore,,,,,#c00,
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278.0,Singapore,,,,,#c00,
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD,465561.0,Singapore,,,,,#c00,
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268.0,Singapore,,,,,#c00,
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035.0,Singapore,,,,,#c00,
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702.0,Singapore,,,,,#c00,
JURONG JUNIOR COLLEGE,800 CORPORATION ROAD,649809.0,Singapore,,,,,#c00,
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734.0,Singapore,,,,,#c00,
